"sample","HSC.like","Progenitor.like","GMP.like","Promono.like","Monocyte.like","cDC.like","HSC.Prog","GMP","Myeloid","Myeloid.like","Exhausted.T.cells","Cytotoxicity","Stroma","Cytolytic_score","Apoptosis","MHC2","Proliferation","SASP","Cellular_senescence","T.cell.senescence"
"BA2655R",0.00353513478829293,0.336783252962652,0.251835999625784,0.315355573195996,0.341754169240272,0.13180736627096,0.261108349502109,0.375283828629887,0.398757182697887,0.389093529488835,0.0817544450053285,0.265986318268476,-0.161311426381802,0.259156667040484,0.335123920601099,0.120226010879928,0.356997164827544,-0.0764539285513993,0.169012504906634,0.0460475896745733
"BA2227R",0.0150188086014261,0.379187735499112,0.281649359154271,0.272218242366745,0.12243622138619,0.0747487789816427,0.300148592381166,0.369966980229725,0.227106144833137,0.285424972392236,0.0493073083179091,0.0161937871481439,-0.192227892110133,0.0145564651788719,0.258887518223618,0.202968145364814,0.0762131070634547,-0.240213672817004,0.14171292921363,0.005196358810445
"BA2125R",0.019971606631536,0.349102418929736,0.307617644307232,0.339361846308738,0.30707320268778,0.150704541626902,0.258505310306859,0.405802164167311,0.394336197053924,0.387790817376982,0.090335969487913,0.258562296736571,-0.140432531449186,0.214343389032186,0.220735673432769,0.205940496887443,0.377628653599037,-0.240865627278335,0.145376549094376,0.0419634011850689
"BA2523R",-0.0115217722595186,0.373186778860233,0.269566844419497,0.284379174814614,0.104357347408614,0.0528460199767672,0.280588383069021,0.401566567690529,0.234956108334737,0.28898871357179,-0.00425150036457456,-0.045239430301671,-0.131581898727079,-0.0469440394751598,0.243893686217338,0.0171891649374685,0.319171069002794,-0.228184061465986,0.129039795136358,-0.0286267033028655
"BA2603R",-0.0442423221604626,0.343135627965092,0.245892974085508,0.341090824604542,0.40258109195725,0.143922545763898,0.256589109995777,0.34202701466344,0.426658805472888,0.423800700020589,0.0431039317965113,0.0600874733654817,-0.226434138955868,0.0545138499495347,0.286049119659078,0.135010655599798,0.164297223978624,-0.226908193595424,0.181078150993476,-0.00457952485093177
"BA2594R",0.0493374880691707,0.355032603814842,0.230236691926279,0.325003388255339,0.402639115054186,0.184048814824091,0.297973157160496,0.355357603280352,0.43601549778202,0.431324985494226,0.06535980705592,0.335168778737243,-0.271145255051496,0.308579118537625,0.234854771784232,0.196245303123773,0.287662920431599,-0.185014861757613,0.149815884409054,0.0533374455597301
"BA2561R",-0.135818956182776,0.261425977626364,0.272565253999439,0.413179345195454,0.241733580399423,0.120622794933691,0.144083831759216,0.32440052898171,0.366513186216707,0.397813839444476,-0.076291435302036,-0.0131097902882135,-0.145301781341707,-0.00123359874397216,0.260076258831446,0.194689024732208,0.188834723723662,-0.193826762380125,0.228536981999664,-0.095459728219219
"BA2474R",0.0122596790105634,0.376984049510943,0.190455140798952,0.314443648473349,0.386460029573062,0.164832080287085,0.301650551341875,0.325117898046261,0.431167761618657,0.427617122428735,0.0674182511638342,0.107435236065941,-0.176442550328044,0.107233374453291,0.249747672984188,0.181523750771129,0.0622310155628532,-0.221152767651842,0.140582066954522,0.0404026243481187
"BA2110R",-0.0428146330117022,0.295523320513071,0.175926185798484,0.361873414780538,0.437131038613435,0.161688308884177,0.234596903078214,0.284290241285525,0.46841297471316,0.465257266924963,0.0411520556396882,0.141325557923068,-0.131264135778239,0.134383761354716,0.294190871369295,0.143514104649206,0.0880892161462051,-0.172101957265437,0.240266173199499,0.0543094263444176
"BA2992R",0.00369554929938964,0.326277308135335,0.269658059687529,0.306209219926814,0.374404327400004,0.200765214687631,0.185590815066626,0.341482230040505,0.45518370861175,0.451105246410991,0.0694430422345617,0.129875518672199,-0.1046655077665,0.119760008971627,0.246203880228776,0.185070943861814,0.297091398617089,-0.238923784420391,0.225817304996355,0.0364866633021178
"BA2220R",3.60932649967616e-05,0.33408172429277,0.203482552156422,0.225785591202153,0.290145432084901,0.125288790813969,0.243563223920166,0.307189909424358,0.377586239167462,0.345271117599715,-0.00788041954119695,0.282449254233487,-0.120394773734088,0.23820791746103,0.307278232589436,0.00552408726375408,0.387704734126094,-0.131007795412484,0.211359090824128,0.0212246957887063
"BA2676R",-0.0578434675200719,0.325159602506784,0.319859201047806,0.341683285252377,0.375523611657027,0.108939452171923,0.205511815232323,0.453998968652012,0.425575083759148,0.420092836955098,0.0234225138818779,0.130929684871594,-0.158077721078899,0.132163283615566,0.250510261298643,0.0484969996074253,0.337640483815041,-0.210483147327688,0.098730817398456,0.0220191031608067
"BA2811R",-0.0754028409409915,0.368991722145214,0.301510899055103,0.285300780266801,0.0880472420311827,0.131861345862356,0.142469626755181,0.331341334597566,0.264323282235574,0.314865143092444,-0.00913679959616354,0.199775709319278,-0.19642423222864,0.177918582482898,0.325535494000224,0.0408908642252257,0.220149101515491,-0.327253098536257,0.19891026000486,-0.00312155367390043
"BA2540R",-0.0356100162820729,0.321706429003729,0.170691832725232,0.335156537396658,0.122975274673854,0.0794946646571864,0.170325353174158,0.209340769019637,0.303782731577667,0.36372433413817,-0.0602838072802737,0.158562296736571,-0.265547019570459,0.155040933049232,0.29691600314007,-0.00947787560989288,-0.00323291247679852,-0.364863159665751,0.177414531112731,-0.0239911026374325
"BA2792R",-0.0557921669594231,0.346713262138576,0.245549162690617,0.346033805107553,0.311563441705505,0.137961039690114,0.254076936645126,0.376111402217398,0.344157448481105,0.374269564078088,0.093000168265186,0.310037007962319,-0.210022617245182,0.306807222159919,0.302074688796681,0.149213448488587,0.227257429579619,-0.135305086646851,0.12960055328137,0.0348511187124994
"BA2651R",0.0444448454807223,0.380007711680756,0.204974740387314,0.25115103874228,0.172051584404889,0.135182170325044,0.286502680542416,0.320216915770475,0.341209500814195,0.367937559660846,0.0632564922317572,0.0197039363014466,-0.295930765061029,0.0428170909498711,0.283940787260289,0.197205709158208,0.0361433495828829,-0.232074757444899,0.102478551000953,-0.0169909717938653
"BA3013R",-0.0519101357908837,0.352697135940337,0.257687809898026,0.348316521133033,0.3160836281281,0.18796125560848,0.241270197606487,0.40052066438772,0.383085331386752,0.382858854137421,0.00546300970329239,-0.0502298979477403,-0.221191050300006,-0.0448469216104071,0.271638443422676,0.179469743704784,0.318390886654293,-0.203227525096742,0.114759154376717,-0.0400100936466102
"BA2377R",-0.032143057660996,0.310690439468187,0.12528534006923,0.254785184611512,0.173305631983828,0.14013965599886,0.159950611740936,0.190084088130349,0.296647762367342,0.326707470005802,0.00711200852543603,-0.0277111136032298,-0.109824482700611,-0.0389480767074128,0.344992710552877,0.198804049127923,0.236940869316907,-0.0906987830183388,0.250425241593301,0.0130563188096974
"BA2901R",-0.048517368881189,0.318699849671033,0.215513612124614,0.394420027493272,0.41686413236753,0.153381929360148,0.228642517732202,0.335389791318379,0.458234600482902,0.449460010855934,0.0546413147119861,0.0454300773802849,-0.163760070281687,0.0278120444095548,0.33255579230683,0.174008748808255,0.275567544414302,0.0579818854803432,0.28014542327894,0.0489915699358866
"BA2275R",-0.0216940574444364,0.325637921946077,0.287891757881935,0.368686712230634,0.335525109027271,0.0828349217727761,0.239043984413835,0.399227320740907,0.370192973590132,0.376815093492055,0.025710920410567,-0.00202983066053608,-0.199143909231948,-0.000235505214758347,0.279219468431087,0.0337474062026807,0.359658963428315,-0.128512141775559,0.0674218209686163,-0.0512626404231855
"BA2387R",0.0284274565477194,0.337608109954901,0.192436149312377,0.170452477298689,-0.0226028038257809,0.111826280719786,0.222648044513574,0.322518734768903,0.166086435697307,0.259024463286353,0.0206685736721073,0.0240215319053493,-0.207620703190714,0.0240776045755299,0.316474150499047,0.167601368403342,-0.00238644012482914,-0.339415904884751,0.158797360698331,-0.00523374268677923
"BA2962R",-0.0331957778900679,0.377401358817672,0.238733744971466,0.284996805359252,0.153102363973272,0.168131312913214,0.263559054781414,0.362699719706232,0.3301196024482,0.376098227487974,-0.00471703404565599,0.0178871817875967,-0.19613450718705,0.0043960973421554,0.300213076146686,0.212649318602434,0.142564301303364,-0.313372777746621,0.165526458438475,-0.0134208116039553
"BA2420R",0.0689381361437956,0.3614020616544,0.244772663485827,0.303792909833685,0.23392479457952,0.19975255755304,0.315566388189578,0.367461386830352,0.382267392891235,0.406118629157542,0.0544898760446464,0.387899517775036,-0.187545561599282,0.35400919591791,0.254738140630257,0.222926364197185,0.269779917188488,-0.319275419213729,0.117871362081534,0.0392156862745099
"BA2756R",-0.0460730527683534,0.379165771851389,0.254448498456357,0.342465488199191,0.117328317143018,0.0506760404026446,0.268390979694156,0.419498714973676,0.232021262657458,0.307715200179684,0.0467160244545404,0.139138723786027,-0.163386231518346,0.116833015588202,0.319075922395424,0.0784588637765689,0.238271768617292,-0.250077112893276,0.175059346903681,0.00484121198527077
"BA2122R",-0.0561250270699487,0.275294800960544,0.317518009168304,0.326780770198842,0.383910756733487,0.102068929779029,0.189786679067182,0.402533456429706,0.398641136504015,0.405248282703502,0.0231813337820405,0.0459235168778738,-0.182526776201424,0.0772008523045867,0.325602781204441,0.12808451573103,0.224641524058172,-0.237087095507823,0.246051328062207,-0.0325052804725321
"BA2080R",0.0204027206301082,0.379426895218758,0.27704415754514,0.283395612693373,0.279785501712617,0.123820545927996,0.24015575474774,0.358491154527535,0.342143485503584,0.339210511539109,0.0426776599921476,0.0618705842772233,-0.0378231368810632,0.066502186834137,0.27465515307839,0.223304918400538,0.170191935056194,-0.0638144243172004,0.204919718125573,-0.00665432998747639
"BA2081R",0.0124100676147164,0.336046250561293,0.275266629245018,0.314734070359542,0.267920714245606,0.190204647426901,0.267436888325877,0.336117557036039,0.402934845677279,0.424309805903382,0.0985865724381626,0.215767634854772,-0.207863698386886,0.198104743747897,0.284916451721431,0.232859906903707,0.284853244130785,-0.245618585609332,0.215592814818969,0.0364399334567002
"BA2354R",-0.0490527523119741,0.319436852072392,0.383543830105716,0.307971112703053,0.274683212607857,0.0804360687311341,0.192135828402525,0.432877128194892,0.332279559024463,0.350176876860015,0.0771495877502945,0.0749579454973646,-0.166713396512084,0.067298418750701,0.247471122574857,0.139791654982895,0.216916189038693,-0.217626605350233,0.0307949681302454,0.0238882969775136
