"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"BA2841R",0.0857185665105722,0.00834495924440297,0.0534968801860244,0.227011320485259,0,0.0217274784343296,0,0.0428889689707274,0.000698886416465106,0,0.142743375941954,0,0.187907132731066,0.0372571710654585,0,0.0121858165624003,0,0.0298296359726918,0,0.046399533065593,0.0506040983270823,0.053186176085974,0.00700000000000001,0.278019236280338,0.975837400635008
"BA2446R",0.00699895416103324,0.021083720044728,0.00696756908815066,0.0230216565805612,0,0.145831359030562,0,0.0074663423541808,0,0,0.0674318307505111,0,0.650140845580619,0.00369064657026297,0,0.0287429012286602,0,0,0.0102250671998173,0,0.0036189646125785,0.0247801427983345,0.00900000000000001,0.247113116777487,1.0373839026989
"BA2357R",0.105361152630563,0,0.0979513713284325,0.0877938634976339,0,0.092110318041672,0.0243091456986028,0.00666378954360388,0,0,0.108332844566401,0,0.248004022387159,0.0412655468269043,0,0.0186700426436593,0,0.00136646768667362,0,0.0216945649370402,0.0381969048219591,0.108279965389696,0.147,0.0841526205141484,1.05915658238255
"BA2546R",0.00837799134710864,0,0.0250909899735312,0.0301112101829346,0,0.0791010001649832,0.00652342520147673,0,0,0,0.100476249805045,0,0.616578431181867,0.00841554320238417,0,0.00637598586544318,0,0,0.0191076373946694,0,0,0.0998415356805563,0,0.479775476727175,0.891517240663794
"BA2316R",0,0.00714534851228683,0.0128347445422902,0.00281926653683821,0,0.0239270871627354,0,0,0.00386739347926539,0,0.0135241618378804,0,0.754149804957817,0,0,0.115195537679101,0,0,0.0432691935918018,0,0.0232674616999835,0,0,0.540311569408147,0.856739731228255
"BA2329R",0.0084747391831644,0,0.03587092503132,0.0131857118661121,0.0366369388391,0.000808788609214577,0,0,0.00305387307961615,0,0.0468251138793672,0,0.556864694456252,0.0202548771913804,0.00197248417325605,0.0225964373497665,0,0,0.0725838702643034,0,0.11697261720033,0.0638989288768173,0.011,0.23285967123823,1.03759120329974
"BA2072R",0.0422118844527552,0,0.014566319232303,0.0219839808186825,0,0.11459659021235,0.00808506090441332,0,0,0,0.109183650701469,0,0.583725583103995,0,0,0.0200929348999407,0,0,0.0220245665111851,0.0062142492289934,0.0500717232657502,0.00724345666816269,0.004,0.342744108999235,0.966294479544242
"BA2995R",0.162205582698514,0,0.245866638191261,0.0126938204140264,0,0.0892822156245766,0.00239858552340578,0.000921039499070654,0.00817993602076826,0,0.0493402210727265,0,0.179159296733882,0.0121677571910225,0,0.00211088181353439,0,0.00176716008761046,0.0399378441892203,0,0.190323743658619,0.00364527728176294,0.00700000000000001,0.282203442747129,0.96452548374232
"BA2069R",0.054485338474569,0,0.0100178254077331,0.0148794583391654,0,0.0754862768529525,0,0,0,0,0.0627986326778742,0,0.644373936542684,0,0,0.113290460813293,0,0.0008786256647427,0.0112549334642503,0,0.012534511762735,0,0.047,0.148707826512215,1.09336537833445
"BA2681R",0.00293220764993599,0.00426548781000875,0.00967983007269911,0.0444255958628945,0,0.0859455048120513,0,0.01766421905718,0,0,0.118566088731916,0,0.215709096868545,0.0754178941224116,0,0,0,0.0158560004856736,0.0377929283772545,0.0115808520944977,0.0388585942415371,0.321305699813395,0.003,0.363264280044182,0.966304244562824
"BA2413R",0.0828411058645244,0,0.247747212477503,0.0374048644555081,0,0.226556849911566,0,0,0,0,0.132200215966462,0,0.167408469446525,0.0101224173594245,0,0,0,0.000283974646279204,0,0.0274316042655007,0.0680032856067073,0,0.00800000000000001,0.27478903611052,0.968516943775163
"BA2677R",0.00314397063331163,0.00487426524428436,0.0238072669769163,0.0199007305191991,0,0.076896623910698,0,0,0,0,0.0591083026932433,0,0.325958626067909,0,0.00262235099194365,0.0356675186374062,0,0,0.129364619575763,0,0.29145525320756,0.0272004715417658,0.014,0.208344739821995,1.02211338855691
"BA2937R",0.00059532411986677,0,0.0267621709176161,0.0106451669767039,0,0.106958577247659,0,0.0162858915202155,0,0,0.101344518671519,0,0.280666034223967,0.0454511147775549,0.00288529466749651,0.00736038866111423,0,0,0.0444375499179304,0.000471976205066903,0.174838045553955,0.181297946539336,0.01,0.237584210278591,1.01779342085821
"BA2050R",0.0502888993675371,0,0.174733726698976,0.010336773465441,0,0.0628099967622873,0.0116888420521824,0,0.00231338713824047,0,0.0644930770786796,0,0.143980877069162,0.0084493914388842,0,0.00591823875334297,0,0,0.0866412250123954,0,0.304718837031014,0.0736267281318576,0.023,0.189659183975823,1.01321546592972
"BA2953R",0.0594283371478561,0,0.0837167964733464,0.0251525016682917,0,0.0594258075510658,0.00515960002480953,0.000499806563825521,0,0,0.060605200624671,0,0.331585577604293,0,0,0.0359325165455865,0,0,0.0883780937248668,0,0.250115762071388,0,0.002,0.384248900968805,0.926107482474769
"BA2481R",0.0214108000680285,0,0.0237389528087216,0,0.0107032088782948,0.00199239060104233,0,0,0.0115780510694435,0.00218997356272822,0.0393632973545217,0,0.613293722092124,0.031745609822728,0,0,0,0.0228592309917146,0.0542873882451433,0,0.0628062289760872,0.104031145529422,0.209,0.0650219502727121,1.15674680645682
"BA2294R",0.0100894516917694,0.028312740912392,0.0267132965115378,0.0646513533850846,0,0.144074211885379,0,0,0,0,0.0790186199382163,0,0.103299389753403,0.0281487434875425,0,0,0,0,0.433860184805789,0,0.045171522831696,0.0366604847971898,0.025,0.186147120706843,1.03960567684485
"BA2816R",0.103804272446996,0,0.0724085367599516,0.0966723827742222,0,0.214112081040762,0,0.0101149026218021,0,0,0.0918155419612425,0,0.284650347569919,0,0.00209487283668322,0.0342653394728761,0,0,0,0.0180598870583652,0.0720018354571801,0,0.004,0.349497147433646,0.940313912076378
"BA2631R",0.00419201206439357,0.00681531660143351,0,0.0261170889852571,0,0.157949517699658,0,0,0,0,0.0887718536368406,0,0.296361423695384,0,0.00186248571189752,0,0,0,0.0865751159596538,0,0.28830370638869,0.0430514792567917,0.00700000000000001,0.284622581444019,0.982336711602758
"BA2023R",0.00467208665954533,0.00341689903516659,0.00427324451083983,0.0067958770960862,0.00867573813980332,0.0127674411130952,0,0,0.00597401186875721,0,0.0568056409691179,0,0.796837988864789,0.0267171590665614,0.00238329939084365,0.0120512501807553,0,0,0.031265208437343,0,0.000852024224479792,0.0265121304428161,0.002,0.389304535406417,0.980743085244016
"BA2485R",0.0689107733496989,0,0.11105864860675,0.00642023773818173,0,0.0826024193487411,0,0,0,0,0.0540248131998853,0,0.0175677376774162,0,0,0.00958692793616647,0,0,0.294953877049958,0,0.354874565093203,0,0.005,0.333896149062687,0.957485127977989
"BA2025R",0.0463395890287915,0,0.00764286078166624,0.0646086954426955,0,0.0714051660226757,0.00772690986415798,0,0,0,0.0944040039343519,0,0.606047375377695,0,0,0.0672833734019495,0,0.00116133339931917,0.0308720324177456,0,0.00250866032895177,0,0.055,0.138977792443793,1.08483599948417
