"feature","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","te_class","status","neglog10p"
"LTR:ERV1:LTR45B",812.780268467345,0.151271152243605,0.0882802486382818,1.71353337328513,0.0866144590673717,0.407026608031989,"LTR","NS",1.06240960256687
"LTR:ERV1:LTR45C",750.307674659673,0.0942812553985715,0.0762375733194504,1.23667702542832,0.216207011338521,0.580581218917563,"LTR","NS",0.665130226496228
"LTR:ERV1:LTR46",671.167044042539,0.0176749681288967,0.0831993486180596,0.212441184005377,0.831762858759713,0.944279345284735,"LTR","NS",0.0800004763681026
"LTR:ERV1:LTR46-int",1008.04454976583,0.0126274650066084,0.0893554476922294,0.141317237311615,0.887619332861507,0.963737889337253,"LTR","NS",0.0517732471524735
"LTR:ERV1:LTR48",1715.92865049887,0.120659279422434,0.0835961993204791,1.44335843499138,0.148919526531084,0.503197836563902,"LTR","NS",0.827048353230333
"LTR:ERV1:LTR48B",2266.11917262577,-0.00709306289156895,0.0871694046995065,-0.0813710144748654,0.935146899749595,0.979661704371071,"LTR","NS",0.0291201615986373
"LTR:ERV1:LTR49",1970.60631135519,-0.0225817089296412,0.0742245688531591,-0.304234962608073,0.760948890171397,0.916694335618124,"LTR","NS",0.118644512036192
"LTR:ERV1:LTR49-int",2293.34076805158,0.217121585182189,0.0775545731781642,2.79959744841096,0.00511663700876661,0.100946238620108,"LTR","Upregulated",2.29101539222887
"LTR:ERV1:LTR51",332.236644447228,0.116609805027585,0.0895152647930987,1.30268066901339,0.192683804349642,0.555417649160158,"LTR","NS",0.71515478756133
"LTR:ERV1:LTR54",1329.64873611779,0.00852819994070824,0.0974939478983543,0.0874741471091067,0.930294634264139,0.977811817625544,"LTR","NS",0.0313794839513162
"LTR:ERV1:LTR54B",1337.64293857113,0.141231005900549,0.109285971160615,1.29230682036018,0.196250910946613,0.559468417222025,"LTR","NS",0.707188318693949
"LTR:ERV1:LTR56",2216.27944173393,0.0389631127299336,0.0539923909739037,0.72164080951269,0.470515341969477,0.774059841145908,"LTR","NS",0.327426211080389
"LTR:ERV1:LTR58",140.096161230438,-0.221313575251297,0.107471155198707,-2.05928348720271,0.039467089404078,0.290533976076118,"LTR","NS",1.40376490052005
"LTR:ERV1:LTR59",89.4242028913958,0.0974563901842606,0.116732455799484,0.834869698549519,0.403791077357248,0.733253929300825,"LTR","NS",0.393843281968221
"LTR:ERV1:LTR60",211.847645255255,0.121812226923756,0.127643715362443,0.954314331715204,0.339924555647441,0.688186763035258,"LTR","NS",0.468617461492303
"LTR:ERV1:LTR60B",145.672850489542,0.161666148472666,0.119551935654353,1.35226709285639,0.176289887407596,0.536976033205756,"LTR","NS",0.753772599606758
"LTR:ERV1:LTR61",776.566132733318,0.0779095624507627,0.0621431579764705,1.25371102769289,0.209947058191926,0.574586976181159,"LTR","NS",0.677890206379526
"LTR:ERV1:LTR64",558.285456335297,0.19238369504257,0.0938104528852614,2.05077034728606,0.0402893165469352,0.292568589213466,"LTR","NS",1.3948100997601
"LTR:ERV1:LTR65",654.227757551752,0.0995444628242518,0.0744275117424938,1.33746863886379,0.181069712494675,0.542434882404761,"LTR","NS",0.742154187987877
"LTR:ERV1:LTR68",295.481032836303,0.0602614890322526,0.0836957586584957,0.720006485372072,0.471521002507891,0.774565364497727,"LTR","NS",0.326498958133142
"LTR:ERV1:LTR6A",22304.6470762591,0.12513213994968,0.0784203133538271,1.59565977994875,0.110564772929853,0.446838915074796,"LTR","NS",0.956383221667093
"LTR:ERV1:LTR6B",759.597235377599,0.080507123280232,0.0882774114846452,0.911978748881136,0.361779904598884,0.705331866244767,"LTR","NS",0.441555560096977
"LTR:ERV1:LTR7",4193.29837380414,0.13268045266438,0.0699405257886665,1.89704682897708,0.057821757823221,0.342666628508068,"LTR","NS",1.23790870959859
"LTR:ERV1:LTR70",928.349053324357,0.0766312682545462,0.118495255392212,0.646703262513774,0.517824011190709,0.802216106323722,"LTR","NS",0.285817815458009
"LTR:ERV1:LTR71A",244.57181924186,0.174119286813237,0.101658039599014,1.71279406429677,0.0867504325217317,0.407182333232851,"LTR","NS",1.06172835121913
"LTR:ERV1:LTR71B",383.48701301654,0.191758032590289,0.110635268982227,1.73324505245335,0.0830521225212343,0.400565800430545,"LTR","NS",1.08064926402558
"LTR:ERV1:LTR72",328.400924371133,0.142801169694054,0.080908087809936,1.76498015908513,0.0775671003369161,0.390514871060743,"LTR","NS",1.11032244332718
"LTR:ERV1:LTR72B",70.017712906225,0.0326209931328537,0.109080226168004,0.299055055887133,0.764898038030908,0.918647722877682,"LTR","NS",0.116396453044818
"LTR:ERV1:LTR73",411.769328383988,0.085985569111585,0.0855005016512379,1.0056732703432,0.314572765219373,0.670219772125393,"LTR","NS",0.502278880018328
"LTR:ERV1:LTR75_1",278.299116873213,0.0863165930992107,0.0987056490951508,0.874484833345281,0.381854276206123,0.719236447718996,"LTR","NS",0.418102341574872
"LTR:ERV1:LTR76",637.593307056183,0.116488047007604,0.0607017989308494,1.91902133148155,0.0549816342799514,0.335722398465738,"LTR","NS",1.25978235528527
"LTR:ERV1:LTR77",63.9468694227298,0.528345513222864,0.113652660171801,4.64877383797439,3.33914094900215e-06,0.000612287704668786,"LTR","Upregulated",5.47636524848624
"LTR:ERV1:LTR78",3026.12059235611,0.122941777500364,0.0608783450192417,2.0194664861784,0.0434387572332081,0.304081838437685,"LTR","NS",1.36212260824611
"LTR:ERV1:LTR78B",1922.56206604678,0.0806447342971168,0.0602067825656706,1.33946261302293,0.180420117779249,0.541451237697738,"LTR","NS",0.74371503800591
"LTR:ERV1:LTR7A",8.63711579066913,0.14359872913934,0.193084991573804,0.743707358966072,0.457053536443037,0.765954052760467,"LTR","NS",0.340032926363359
