"LINE.L2","LTR.ERVL","SINE.MIR","LTR.ERV1","LTR.ERVL.MaLR","LINE.L1","LTR.ERVK","SINE.Alu","LINE.CR1","sample"
20.2678113731648,17.9913350511481,20.1261359902452,19.0196606167131,19.1198646100079,21.3849698242134,16.3482627495826,21.9994693319406,17.4338927984925,"BA3438R"
19.7717062567468,17.7785464409777,19.8253175944281,18.5745159568869,18.7339715205181,20.7503287151374,16.0274526013157,21.9967504203744,17.1661621542083,"BA3403R"
20.9187133083913,18.7707139872956,20.7432745737859,19.3375006463138,19.7560528550018,21.9745538839163,17.3241810027622,22.687221592373,18.0012001905309,"BA3341R"
20.4047493182146,18.3025299986387,20.2744054545361,19.2836554038715,19.3975543528034,21.5261661172057,16.9650684596278,22.1528431778925,17.5294719442835,"BA3448R"
20.9223853209276,18.9139788931566,20.7454066259908,19.3622446802044,19.7168803790171,21.9230678486727,17.0048288365212,22.6681568013599,17.9243361826712,"BA3453R"
19.9631396641521,17.8776437999407,19.9348113816755,19.1828615005498,19.10013767369,21.0813004649882,16.8072331377207,21.7980904205659,17.187288822181,"BA3308R"
21.4213041077163,19.0575940936119,21.2500048248905,19.522928398057,20.0574465424148,22.2235179298305,17.0674778816521,23.1553327646171,18.4064042580189,"BA3334R"
20.911528731749,18.5192459249679,20.7249944688233,19.4496374784842,19.7070136365066,21.9977468742028,16.9009569149321,22.6628498016298,17.9195660811967,"BA3447R"
20.5963084681493,18.6007298653689,20.4987635474119,19.2268568713564,19.3912642709791,21.619756646124,16.761479201844,22.4230636395371,17.6246606374484,"BA3116R"
21.0097619352725,18.6536295878897,20.8167383692506,19.6217622564439,19.9082080143028,22.1193554837257,17.2280826408543,22.7552673722853,18.0055654733999,"BA3280R"
20.311171071785,17.9020875385482,20.1975846062538,18.8838404878819,19.1959157221924,21.257497317777,16.7530321462991,22.0376929299822,17.5000042362021,"BA3318R"
20.3938786892853,18.4721193953516,20.2493335058447,19.0871693876006,19.129408983106,21.4218482967346,16.6347815508275,22.1234272886655,17.4784263828727,"BA3332R"
20.7173945153555,18.4800783309732,20.5913532791823,19.4810843329032,19.7264429892966,21.8451197766442,16.874404983072,22.3292090266258,17.8274108249591,"BA3214R"
20.4108153724675,18.3769965196094,20.3292639492663,19.3887045783961,19.4054276572874,21.5555223559406,16.9915106670781,22.0746169124582,17.5486291855074,"BA3141R"
19.421150393382,17.5670784567706,19.5101678888076,18.5352163852894,18.5641352300332,20.4593868899039,16.0536859503271,21.2088917969852,16.9220113389362,"BA3373R"
19.6733272183612,17.5315814050123,19.7743819257785,18.6471603191845,18.5983906523144,20.4036853148062,15.9504471490296,21.900511718148,16.9159925760802,"BA3319R"
20.2966729994547,18.2735409572109,20.20391829342,19.434767090462,19.4361282749456,21.4896566768898,16.9258335192117,22.0102816563688,17.5264991093582,"BA3240R"
19.8455866481483,19.1974515633184,19.9057324333765,18.7663998087529,18.8572839648667,20.6933016423735,16.2864807702375,21.9080740461539,17.1135337093318,"BA3381R"
20.4770172547734,20.0368467039192,20.437233596349,19.193055194213,19.5375859784146,21.3300319779307,16.8665108873923,22.6296097169836,17.5625979220177,"BA3290R"
20.5740124679392,20.814964595096,20.5911998492007,19.2196865665364,19.5077490935969,21.3065932606972,16.7042928045767,22.2742544170727,17.6586242938172,"BA3296R"
20.4434157168312,18.2800745578551,20.4149563775922,19.0896102295064,19.3808656994328,21.4925031463413,16.6739777405778,22.2716664170214,17.5806863261711,"BA3305R"
20.4249093570474,18.5657377560317,20.3310232750881,19.2514308415765,19.4005515228822,21.460981834917,16.5979555591458,22.0483146340489,17.5296727105964,"BA3434R"
19.9814625590814,17.6808785312793,19.9794968983152,18.7632741465493,18.8450280681728,20.9739147701415,16.1507337578891,21.7410680750871,17.1058564847727,"BA3264R"
20.9493570449436,21.2648514299967,20.942139693293,19.4479522468966,19.7986208492327,21.7630842720432,16.7384305609635,22.8608500412315,18.0652959543097,"BA3367R"
20.4747192597802,18.8337775272815,20.3856100914681,19.1843282248868,19.3949561076117,21.5775974582415,16.8679066412892,22.3394405428416,17.5863475837949,"BA3183R"
19.8919859749706,18.3610030176014,19.9160927608518,18.7732818077004,18.8573559830315,20.880962256149,16.2325818473251,21.610963819534,17.1931327861377,"BA3222R"
20.3637115306055,18.364104629643,20.2671723429125,19.1642302531538,19.3439463332342,21.3546235884632,16.7201929095734,22.0565592477002,17.4179387174226,"BA3397R"
21.2182906572401,18.8716282872301,21.1458997744331,19.8134833715195,20.0700363745635,22.3387769600129,17.3459178670422,22.8853319608069,18.342894645756,"BA3422R"
20.4454140317431,18.1488339494408,20.4491531344716,19.1365084195282,19.2556168446314,21.3911300379772,16.508898139922,22.3022556309951,17.5719771873704,"BA3213R"
20.0371403142671,19.8844174508195,20.1249029882645,18.6496414115872,19.0488608298991,20.7904274231284,16.0760068581548,22.0251696076001,17.2876213066616,"BA3270R"
19.3370748428635,18.6558104373268,19.4455624959513,18.3171263589513,18.4356092278225,20.2281199161781,15.6742913614025,21.1271030837047,16.9052505936871,"BA3415R"
19.5575283562007,17.5397629722339,19.6315769852959,18.5123920470758,18.6170427210686,20.5740230053926,15.7408327752734,21.4902638510646,16.9839415587912,"BA3324R"
20.6889878512148,18.9116791809538,20.6696373011762,19.2324395800661,19.5485499766508,21.5923133778977,16.7534300731367,22.6060398857331,17.7663168915717,"BA3326R"
19.9917284495454,18.0062974388196,20.0058239922316,18.9278925604252,19.0430135907844,21.0735500036745,16.6201125613545,21.8029108374469,17.2135427698731,"BA3297R"
20.145558653781,18.1002474827928,20.0184459758691,19.1809608069174,19.1402979628073,21.2380480016617,16.7630045839842,21.8546051995974,17.3071729729523,"BA3227R"
20.4013371689042,18.1608763265118,20.4155213186384,19.4497817637197,19.338886098384,21.3762009650902,16.3000169218317,22.0486295007574,17.5457112835963,"BA3412R"
20.2736531171061,17.9737742753758,20.1324017652711,19.0371645921871,19.0184453949361,21.1056242692837,16.5215661252723,21.898482669002,17.3262358995594,"BA3250R"
